ID ;Crater Name ;Longitude ;Latitude ;Diameter (km) ;Certainty ;RADAR Swath  
1*;Menrva;86.97;19.98;400;1;T003, T077, T108
2*;Forseti;10.74;25.76;140;1;T023, T113
3*;Afekan;200.27;26.00;115;1;T043, T083
4;Paxsi;341.53;5.51;115;2;T104
5*;Hano;344.98;40.51;105;1;T016, T084, T104
6*;Sinlap;15.98;11.51;88;1;T003, T108, T113
7*;Soi;140.97;24.29;84;1;T016, T055, T056, T120
8*;Selk;199.05;6.92;84;1;T036, T095,T098, T120, T121
9*;Crater #1 H2018;240.33;31.94;70;3;T084, T104
10;Crater #2 H2018;129.24;14.49;69;3;T120
11;Guabonito;151.71;-11.32;66;2;T013, T048
12;Crater #26 W;85.99;-8.14;62;2;T013, T029
13;Crater #3 H2018;138.44;1.84;62;2;T091
14;Crater #4 H2018;110.83;-6.16;60;3;T113
15;Nath;7.77;-30.61;60;2;T050
16;Crater #49 W;188.91;-10.92;60;3;T008, T036, T041, T121
17;Crater #6 H2018;347.75;1.48;57;2;T104
18;Crater #7 H2018;164.40;31.33;55;3;T120
19*;Ksa;65.34;13.72;45;1;T017, T077, T113, T083
20*;Shikoku;165.05;-7.80;41;1;T013, T048, T121
21;Crater #47 W;184.47;-7.25;41;3;T008, T120, T121
22;Crater #25 W;88.67;-11.54;40;2;T003, T013, T113
23;Santorini;147.55;2.15;40;1;T044, T056
24;Crater #8 H2018;293.05;52.09;40;3;T084, T104, T016
25;Crater #9 H2018 ;205.01;-14.69;38;2;T113
26;Crater #10 H2018;340.81;-8.75;35;3;T104
27;Crater #45 W;18.50;08.10;34;3;T003, T121
28;Crater #11 H2018;353.88;54.20;33;4;T083, T098
29;Crater #23 W;49.80;47.60;33;2;Ta
30;Crater #5 NL;140.54;12.13;33;2;T056
31;Momoy;44.58;11.66;32;1;T017, T077, T113
32;Crater #13 H2018;153.97;19.84;32;3;T049
33;Crater #43 W;50.18;10.61;32;3;T017, T077, T083
34;Crater #14 H2018;188.43;21.18;31;3;T098
35;Crater #46 W;40.43;-49.60;30;3;T36
36;Crater #44 W;62.08;12.46;29;3;T017, T077
37;Beag;169.47;-34.74;28;1;T098
38;Crater #16 H2018;149.14;-68.63;27;4;T058, T077
40;Crater #22 W;29.96;11.35;26;2;T029
41*;Crater #10 NL;129.69;-30.58;25;3;T041
42;Crater #17 H2018;348.98;-6.32;27;3;T023, T104, T113, T120
43;Crater #18 H2018;207.82;-13.10;25;4;T058, T064, T095
44;Crater #4 NL;141.78;11.01;22;2;T056, T020
45;Crater #42 W;166.86;-10.56;22;3;T013, T121
46;Crater #21 W;84.27;-10.53;20;2;T013, T041, T113
47;Crater #19 H2018;280.44;0.02;19;3;T071
48*;Crater #3 NL;150.67;-16.33;19;2;T048, T058, T057
39;Crater #20 H2018;127.04;-3.12;19;3;T058, T057, T020
49;Crater #41 W;260.19;29.95;18;3;T043, T083
50;Crater #9 NL;162.65;19.15;18;3;T057, T056
51;Crater #21 H2018;121.49;-15.59;18;3;T021
52;Crater #22 H2018;62.47;-9.77;18;2;T113
53;Crater #20 W;77.90;-7.70;17;2;T013
54;Crater #40 W;67.33;-12.41;17;3;T013, T113, T121
55;Crater #23 H2018;170.68;21.76;17;4;T056, T098
56;Crater #24 H2018;353.82;36.55;17;3;T084
57;Crater #17 W;75.93;-13.20;16;2;T013
58;Crater #7 NL;160.15;-38.27;16;3;T057, T120
59;Crater #13 W;309.90;83.30;15;2;T029
60;Crater #15 W;250.12;39.36;15;2;T021, T084, T092
61;Crater #19 W;74.88;-13.25;15;3;T013
62;Crater #39 W;129.70;33.40;14;3;Ta
63;Crater #18 W;249.26;38.16;12;2;T084, T092
64;Crater #25 H2018;175.58;-6.68;12;3;T048, T077
65;Crater #38 W;24.51;-57.10;11;3;T039
66;Crater #8 NL;194.79;0.06;11;3;T036, T061, T098, T121
67;Crater #48 W;173.40;22.70;10.5;3;T021, T029, T083, T120
68;Crater #16 W;239.00;82.50;10;2;T029
69;Crater #37 W;349.40;41.80;10;3;T018
70;Crater #35 W;266.93;23.88;9;3;T098
71;Crater #36 W;105.20;64.40;9;3;T056, T098
72;Crater #26 H2018;170.97;-37.79;9;3;T021, T049
73;Crater #27 H2018;171.35;-39.96;9;3;T018
74;Crater #28 H2018;73.33;12.31;9;4;T104
75;Crater #33 W;324.50;83.90;8;3;T71
76;Crater #34 W;228.20;36.40;8;3;T025
77;Crater #9 W;254.00;39.00;8;3;T030
78;Crater #29 H2018;235.25;-60.12;8;3;T021, T084, T091
79;Crater #7 W;39.42;-18.92;8;3;T025
80;Crater #14 W;349.10;44.00;7;2;T018
81;Crater #30 H2018;104.62;67.45;7;4;T043, T113,T020, T083, T098
82;Crater #11 W;343.30;25.28;6;3;T016
83;Crater #32 W;229.00;83.00;6;3;T025
84;Crater #12 W;12.91;-54.48;5;2;T007
85;Crater #10 W;43.40;18.58;4;2;T003
86;Crater #8 W;17.12;14.04;4;2;T003
87;Crater #30 W;43.15;-18.89;4;3;T025
88;Crater #6 W;38.40;-17.10;3;2;T025
89;Crater #29 W;261.14;30.50;3;3;T021
90;Crater #31 W;45.90;-28.60;3;3;T025
